,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
211,dc,smoothed_wearing_mask,2021-01-05,2021-01-10,5,98.2100239,0.6485051,418.0,state,fb-survey
212,de,smoothed_wearing_mask,2021-01-05,2021-01-10,5,96.0678211,0.5222527,1385.0,state,fb-survey
213,fl,smoothed_wearing_mask,2021-01-05,2021-01-10,5,90.2867074,0.2167958,18659.002,state,fb-survey
214,ga,smoothed_wearing_mask,2021-01-05,2021-01-10,5,88.5716466,0.3875072,6740.9161,state,fb-survey
215,hi,smoothed_wearing_mask,2021-01-05,2021-01-10,5,96.3255814,0.5740675,1074.0,state,fb-survey
216,ia,smoothed_wearing_mask,2021-01-05,2021-01-10,5,90.2321905,0.4752531,3902.1924,state,fb-survey
217,id,smoothed_wearing_mask,2021-01-05,2021-01-10,5,83.9482161,0.7994041,2108.6378,state,fb-survey
218,il,smoothed_wearing_mask,2021-01-05,2021-01-10,5,94.3097239,0.2107624,12081.0219,state,fb-survey
219,in,smoothed_wearing_mask,2021-01-05,2021-01-10,5,91.9204999,0.336342,6565.0003,state,fb-survey
220,ks,smoothed_wearing_mask,2021-01-05,2021-01-10,5,90.8394177,0.5115503,3179.9528,state,fb-survey
221,ky,smoothed_wearing_mask,2021-01-05,2021-01-10,5,93.4136982,0.3748259,4379.1819,state,fb-survey
222,la,smoothed_wearing_mask,2021-01-05,2021-01-10,5,89.1557584,0.470613,4365.3662,state,fb-survey
223,ma,smoothed_wearing_mask,2021-01-05,2021-01-10,5,97.2374256,0.2143783,5845.0145,state,fb-survey
224,md,smoothed_wearing_mask,2021-01-05,2021-01-10,5,97.6412127,0.2207569,4725.9967,state,fb-survey
225,me,smoothed_wearing_mask,2021-01-05,2021-01-10,5,94.3046661,0.4957931,2185.0,state,fb-survey
226,mi,smoothed_wearing_mask,2021-01-05,2021-01-10,5,94.0852548,0.2180245,11707.036,state,fb-survey
227,mn,smoothed_wearing_mask,2021-01-05,2021-01-10,5,93.3623057,0.3633967,4692.7428,state,fb-survey
228,mo,smoothed_wearing_mask,2021-01-05,2021-01-10,5,88.6817015,0.4317695,5384.0762,state,fb-survey
229,ms,smoothed_wearing_mask,2021-01-05,2021-01-10,5,89.3801967,0.5769343,2851.7082,state,fb-survey
230,mt,smoothed_wearing_mask,2021-01-05,2021-01-10,5,87.7563856,0.8594995,1454.4444,state,fb-survey
231,nc,smoothed_wearing_mask,2021-01-05,2021-01-10,5,93.573461,0.2352285,10868.0121,state,fb-survey
232,nd,smoothed_wearing_mask,2021-01-05,2021-01-10,5,87.6234167,1.2157645,733.706,state,fb-survey
233,ne,smoothed_wearing_mask,2021-01-05,2021-01-10,5,90.0285645,0.6623857,2046.0493,state,fb-survey
234,nh,smoothed_wearing_mask,2021-01-05,2021-01-10,5,95.6379223,0.4587858,1982.0,state,fb-survey
